Application Id,Application Number,Office,Application Date_page,Grant Number,Grant Date,Applicants,Title_page,Priority Data,Related Patent Documents,International Application No.,International Filing Date,Application Date_list,Country,latitude,longitude,applicant_city_name,applicant_state_name,applicant_country_name,crop,Days Between Application and Grant,Granted,Application Year,Grant Year,Has Related Patent Documents,purpose
CN399267675,202211203732,China,2022-09-29,,,Linyi University,(EN) Application of NtAITRs transcription factor family gene in regulation and control of tobacco stress resistance(ZH) 一种NtAITRs转录因子家族基因在调控烟草抗逆性中的应用,,,,,,,35.124632,118.288071,Linyi,Shandong,China,Tobacco,,False,2022.0,,False,Drought Adaptation
CN317396465,202011233671,China,2020-11-06,,,Zhejiang University,(EN) Application of OsKEAP1 gene in regulation and control of agronomic traits and yield of rice(ZH) OsKEAP1基因在调控水稻农艺性状和产量中的应用,,,,,,,30.3086844,120.0864995,Hang Zhou Shi,Zhe Jiang Sheng,China,Rice,,False,2020.0,,False,Yield Improvement
CN442624700,202410767049,China,2024-06-14,,,Sichuan Agricultural University,(EN) Rice SDT6 gene as well as encoding protein and application thereof(ZH) 水稻SDT6基因、其编码蛋白及其应用,2024102144167 26.02.2024 CN,,,,,,29.977484,102.993691,Ya An Shi,,China,Rice,,False,2024.0,,False,Yield Improvement
CN399641709,202111455341,China,2021-12-01,,,Hunan Hybrid Rice Research Center,(EN) Protein PSRK2 related to rice panicle type as well as coding gene and application of protein PSRK2(ZH) 与水稻穗型相关的蛋白PSRK2及其编码基因与应用,,,,,,,28.197709,113.083429,Chang Sha Shi,Hu Nan Sheng,China,Rice,,False,2021.0,,False,Yield Improvement
CA205108242,2979292,Canada,2016-03-14,,,"Institute Of Genetics And Developmental Biology, Chinese Academy Of Sciences",(EN) METHOD FOR IMPROVING ABILITY TO RESIST AGAINST INTRUSIVE DNA VIRUSES OF PLANT(FR) PROCEDE D'AUGMENTATION DE LA CAPACITE D'UNE PLANTE A RESISTER A L'INVASION PAR LES VIRUS A ADN,201510107492.9 12.03.2015 CN,"CN105969792

AR103927

AU2016228599

KR1020170126495

EP3309255

BR112017016423

US20180195084

EA201791991

JP2018507705

WO/2016/141893

IN201737029075

UAa201709464This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,14.03.2016,Canada,38.115509,114.533286,Shi Jia Zhuang Shi,He Bei Sheng,China,Crop plants,,False,2016.0,,True,Disease Resistance
CN234988193,201810866033,China,2018-08-01,,,Henan Agricultural University,(EN) Method for site-directed mutation of rice PHYB gene using CRISPR/Cas9 system(ZH) 一种利用CRISPR/Cas9系统对水稻PHYB基因定点突变的方法,,,,,,,34.7854718,113.6632032,Zheng Zhou Shi,He Nan Sheng,China,Rice,,False,2018.0,,False,Drought Adaptation
CN428836599,202410082888,China,2024-01-19,,,Henan Normal University,(EN) Rapid detection method for pratylenchus coffee based on RPA-CRISPR/Cas12a(ZH) 一种基于RPA-CRISPR/Cas12a的咖啡短体线虫的快速检测方法,,,,,,,35.3268663,113.9159103,Xin Xiang Shi,He Nan Sheng,China,Coffee,,False,2024.0,,False,Other Purpose
CN306315719,202010408492,China,2020-05-14,,,China Jiliang University,(EN) Method for enhancing gene editing efficiency of CRISPR/ Cas9 system(ZH) 一种增强CRISPR/Cas9系统基因编辑效率的方法,,,,,,,30.318764,120.363977,Hang Zhou Shi,Zhe Jiang Sheng,China,Crop plants,,False,2020.0,,False,Gene Editing Systems Development
CN240415594,201811393902,China,2018-11-21,,,Huazhong Agricultural University,(EN) Method of constructing cotton mutant library with high through throughput based on CRISPR/Cas9 system(ZH) 基于CRISPR/Cas9系统高通量构建棉花突变体库的方法,,,,,,,30.475126,114.353035,Wu Han Shi,Hu Bei Sheng,China,Cotton,,False,2018.0,,False,Gene Editing Systems Development
CN323790134,201911035463,China,2019-10-29,,,"China National Seed Group Co., Ltd.",(EN) Method for creating plant haploid induction system and application thereof(ZH) 创制植物单倍体诱导系的方法及其应用,,,,,,,34.745974,117.53768,Zaozhuang,Shandong,China,Rice,,False,2019.0,,False,Other Genetic Improvement for Crop Traits
CN406237289,202310549097,China,2023-05-16,,,"China Tobacco Yunnan Industrial Co., Ltd.",(EN) Tobacco CBL interaction serine/threonine protein kinase 23 gene and application thereof(ZH) 烟草CBL相互作用的丝氨酸/苏氨酸蛋白激酶23基因及应用,,,,,,,26.5895249,106.7159627,Gui Yang Shi,Gui Zhou Sheng,China,Tobacco,,False,2023.0,,False,Other Genetic Improvement for Crop Traits
JP443103342,2024143412,Japan,2024-08-23,,,Institute Of Genetics & Developmental Biology Chinese Academy Of Sciences中国科学院遺▲伝▼与▲発▼,(EN) METHOD OF APPLYING NON-GENETIC SUBSTANCE TO PERFORM SITE-DIRECTED REFORM OF PLANT GENOME(JA) 植物ゲノムの部位特異的改変の実施に非遺伝物質を適用する方法,201510114017.4 16.03.2015 CN,"AU2016239037

KR1020170126502

EP3279321

BR112017016431

US20180163232

EA201792036

WO/2016/155482

CN105985943

AR103926

JP2018508221

IN201737029078

CA2979290

JP2023018066",,,23.08.2024,Japan,40.0051991,116.3813791,,Beijing,China,Crop plants,,False,2024.0,,True,Gene Editing Systems Development
CA406583286,3211382,Canada,,,,Jiangsu University,"(EN) METHOD FOR SITE-DIRECTED MUTAGENESIS OF BNHBBD GENE OF BRASSICA NAPUS L., AND USE(FR) PROCEDE ET APPLICATION DE LA MUTATION CIBLANT UN SITE DU GENE BNHBBD DE BRASSICA NAPUS",202111075160.9 14.09.2021 CN,"CN113980964

WO/2023/040623",,,,Canada,32.19932,119.514279,Zhen Jiang Shi,,China,Canola,,False,,,True,Disease Resistance
CN402732639,202211285575,China,2022-10-20,,,Huazhong Agricultural University,(EN) Application of OsSUT2 gene in preparation of Sitobion avenae-resistant transgenic rice(ZH) OsSUT2基因在制备抗麦长管蚜转基因水稻中的应用,,,,,,,30.475126,114.353035,Wu Han Shi,Hu Bei Sheng,China,Rice,,False,2022.0,,False,Pesticide Resistance
CN206670678,201710540810.X,China,2017-07-05,,,Horticulture Institute Of Xinjiang Academy Of Agricultural Science,(EN) Cas9-mediated tomato gene editing vector and application thereof(ZH) Cas9介导的番茄基因编辑载体及其应用,,,,,05.07.2017,China,43.8141912,87.5738005,Wu Lu Mu Qi Shi,Xin Jiang Wei Wu Er Zi Zhi Qu,China,Tomatoes,,False,2017.0,,False,Other Genetic Improvement for Crop Traits
CN206678012,201710345611,China,2017-05-16,,,Shanghai Jiao Tong University,"(EN) Site-directed knockout system for rice TMS10 gene, and applications thereof(ZH) 水稻TMS10基因的定点敲除系统及其应用",,,,,,,31.0252201,121.4337784,,Shang Hai Shi,China,Rice,,False,2017.0,,False,Other Genetic Improvement for Crop Traits
CN233251762,201810637466,China,2018-06-20,,,Jiangsu Academy Of Agricultural Sciences,(EN) Construction method and application of eggplant CRISPR/Cas9 gene knock-out vector(ZH) 一种茄子CRISPR/Cas9基因敲除载体的构建方法和应用,,,,,,,32.035361,118.869025,Nanjing,Jiangsu,China,Eggplant,,False,2018.0,,False,Other Genetic Improvement for Crop Traits
CN427802616,202311740658,China,2023-12-18,,,"Hainan Bolian Technology Co., Ltd.",(EN) Rice HSMS1 male sterile line created by using CRISPR and application of rice HSMS1 male sterile line(ZH) 利用CRISPR创制水稻HSMS1雄性不育系及其应用,,,,,,,20.0054,110.37222,Hai Kou Shi,Hai Nan Sheng,China,Rice,,False,2023.0,,False,Yield Improvement
CN305430553,202010401497,China,2020-05-13,,,Jiangxi Super-Rice Research And Development Center,(EN) Method for performing site-directed mutation on rice TDR gene by CRISPR\Cas9 system and detection method(ZH) 利用CRISPR\Cas9系统对水稻TDR基因进行定点突变及检测的方法,,,,,,,28.557512,115.943246,Nan Chang Shi,Jiang Xi Sheng,China,Rice,,False,2020.0,,False,Other Genetic Improvement for Crop Traits
CN403512489,202310188216,China,2023-02-28,,,Huazhong Agricultural University,(EN) Application of SlCSN5B gene in regulation and control of tomato flowering time(ZH) SlCSN5B基因在调控番茄开花时间中的应用,,,,,,,30.475126,114.353035,Wu Han Shi,Hu Bei Sheng,China,Tomatoes,,False,2023.0,,False,Yield Improvement
CN432776483,202410267050,China,2024-03-08,,,Northwest A&F University,(EN) Method for creating diploid seedless watermelon through gene editing ClSPL(ZH) 一种通过基因编辑ClSPL创制二倍体无籽西瓜的方法,,,,,,,34.262298,108.073742,Xian Yang Shi,Shan Xi Sheng,China,Watermelon,,False,2024.0,,False,Other Genetic Improvement for Crop Traits
CN440757981,202411104916,China,2024-08-13,,,Northwest A&F University,(EN) Wheat transcription factor gene TaSGT1 and application thereof(ZH) 一种小麦转录因子基因TaSGT1及其应用,,,,,,,34.262298,108.073742,Xian Yang Shi,Shan Xi Sheng,China,Wheat,,False,2024.0,,False,Disease Resistance
CN409230988,202310733434,China,2023-06-20,,,Jiangsu Lixiahe Region Agricultural Research Institute,(EN) Preparation method of rice germplasm with relatively low amylose content(ZH) 一种较低直链淀粉含量水稻种质的制备方法,,,,,,,32.4207672,119.5277205,Yang Zhou Shi,Jiang Su Sheng,China,Rice,,False,2023.0,,False,Other Genetic Improvement for Crop Traits
CN414616758,202310380213,China,2023-04-11,117004751.0,2024-03-01,Nanjing Forestry University,(EN) Molecular detection target g7594 of fusarium solani and application thereof(ZH) 一种茄镰孢菌(Fusarium solani)的分子检测靶标g7594及其应用,,,,,,,32.080904,118.812736,Nan Jing Shi,,China,Crop plants,325.0,True,2023.0,2024.0,False,Disease Resistance
CN429515032,202410111954,China,2024-01-26,,,Tianjin University,(EN) Method for quickly converting diploid host into haploid and application of method in large-fragment DNA (Deoxyribose Nucleic Acid) transfer(ZH) 一种快速将二倍体宿主转变为单倍体的方法及其在大片段DNA转移中的应用,,,,,,,39.108067,117.176196,,Tian Jin Shi,China,Crop plants,,False,2024.0,,False,Gene Editing Systems Development
CN178125139,201610248513,China,2016-04-20,,,Shanghai Jiao Tong University,(EN) Application of male-sterility gene OsGEN and method for restoring fertility(ZH) 雄性不育基因OsGEN的应用及育性恢复的方法,,,,,,,31.0252201,121.4337784,,Shang Hai Shi,China,Rice,,False,2016.0,,False,Yield Improvement
CN393834648,202210259324,China,2022-03-16,,,"Shanghai Customs Animal, Plant And Food Inspection And Quarantine Technology Center",(EN) Kit and detection method for detecting escherichia coli O157(ZH) 一种检测大肠杆菌O157的试剂盒及检测方法,,,,,,,31.3044799,121.6187973,,Shang Hai Shi,China,Crop plants,,False,2022.0,,False,Other Purpose
CN403940956,202310360952,China,2023-04-06,,,Shandong Normal University,(EN) Limonium bicolor gene Lb3G20842 and application thereof(ZH) 二色补血草基因Lb3G20842及其应用,,,,,,,36.652703,117.042083,Ji Nan Shi,Shan Dong Sheng,China,Sea Lavender,,False,2023.0,,False,Other Genetic Improvement for Crop Traits
CN435125842,202410383666,China,2024-04-01,,,Zhejiang University,(EN) Method for increasing oil content of soybean seeds(ZH) 一种提高大豆种子含油量的方法,,,,,,,30.3086844,120.0864995,Hang Zhou Shi,Zhe Jiang Sheng,China,Soybeans,,False,2024.0,,False,Yield Improvement
CN318123668,201910720665,China,2019-08-06,,,"Lanzhou Veterinary Research Institute, Chinese Academy Of Agriculture Sciences",(EN) Construction method and application of porcine cells for expressing human sting protein(ZH) 表达人源sting蛋白的猪源细胞的构建方法和应用,,,,,,,36.082643,103.853777,Lan Zhou Shi,Gan Su Sheng,China,,,False,2019.0,,False,Other Purpose
CN403542431,202310400913,China,2023-04-14,,,Henan Agricultural University,"(EN) Gene ENT for regulating tiller number and biomass of switchgrass as well as encoding protein, expression vector and application of gene ENT(ZH) 柳枝稷分蘖数及生物量调控基因ENT、其编码蛋白、表达载体及其应用",,,,,,,34.7854718,113.6632032,Zheng Zhou Shi,He Nan Sheng,China,Switchgrass,,False,2023.0,,False,Yield Improvement
CA232854835,3022475,Canada,,,,Basf Plant Science Company Gmbh,(EN) IMPROVED METHODS FOR MODIFICATION OF TARGET NUCLEIC ACIDS(FR) PROCEDES AMELIORES DE MODIFICATION D'ACIDES NUCLEIQUES CIBLES,16167773.7 29.04.2016 EP16167774.5 29.04.2016 EP17156018.8 14.02.2017 EP,"AU2017256517

CN109072207

KR1020190002470

EP3448990

BR112018068934

KR1020230038804

US20190309290

JP2019514376

KR1020220032126

WO/2017/186550

EP3868880

DK3448990

IL262409

MX2021009235

MX2018013256

CL2018003074

IN201827044973

IN202128045052

US20230024869

US20230049124

US20230107997

US20230183686

AU2022100157

AU2022100158

AU2022100159

AU2022100155

AU2022100170

JP2023018093",,,,Canada,40.7773301,-74.4269912,Florham Park,New Jersey,United States,Crop plants,,False,,,True,Gene Editing Systems Development
MX251369838,2018013256,Mexico,2018-10-29,,,Basf Plant Science Company Gmbh,(EN) IMPROVED METHODS FOR MODIFICATION OF TARGET NUCLEIC ACIDS.(ES) METODOS MEJORADOS PARA LA MODIFICACION DE ACIDO NUCLEICOS DIANA.,16167773.7 29.04.2016 EP16167774.5 29.04.2016 EP17156018.8 29.04.2016 EP,"AU2017256517

CN109072207

KR1020190002470

EP3448990

BR112018068934

KR1020230038804

US20190309290

JP2019514376

KR1020220032126

WO/2017/186550

EP3868880

DK3448990

IL262409

CA3022475

MX2021009235

CL2018003074

IN201827044973

IN202128045052

US20230024869

US20230049124

US20230107997

US20230183686

AU2022100157

AU2022100158

AU2022100159

AU2022100155

AU2022100170

JP2023018093",,,29.10.2018,Mexico,40.7773301,-74.4269912,Florham Park,New Jersey,United States,Crop plants,,False,2018.0,,True,Gene Editing Systems Development
MX398105214,2021009235,Mexico,2018-10-29,,,Basf Plant Science Company Gmbh,(EN) IMPROVED METHODS FOR MODIFICATION OF TARGET NUCLEIC ACIDS.(ES) METODOS MEJORADOS PARA LA MODIFICACION DE ACIDOS NUCLEICOS DIANA.,16167773.7 29.04.2016 EP16167774.5 29.04.2016 EP17156018.8 29.04.2016 EP,"AU2017256517

CN109072207

KR1020190002470

EP3448990

BR112018068934

KR1020230038804

US20190309290

JP2019514376

KR1020220032126

WO/2017/186550

EP3868880

DK3448990

IL262409

CA3022475

MX2018013256

CL2018003074

IN201827044973

IN202128045052

US20230024869

US20230049124

US20230107997

US20230183686

AU2022100157

AU2022100158

AU2022100159

AU2022100155

AU2022100170

JP2023018093",,,29.10.2018,Mexico,40.7773301,-74.4269912,Florham Park,New Jersey,United States,Crop plants,,False,2018.0,,True,Gene Editing Systems Development
CN436060393,202410533714,China,2024-04-29,,,Hubei University,(EN) Extension factor complex subunit OsELP4 gene for regulating and controlling resistance of rice to rice blast and application of extension factor complex subunit OsELP4 gene(ZH) 调控水稻对稻瘟病抗性的延伸因子复合体亚基OsELP4基因及应用,,,,,,,30.5604645,114.3174596,Wu Han Shi,Hu Bei Sheng,China,Rice,,False,2024.0,,False,Disease Resistance
CA196206281,2963820,Canada,,,,"Editas Medicine, Inc.",(EN) METHODS FOR IMPROVING CRISPR/CAS-MEDIATED GENOME-EDITING(FR) PROCEDES POUR AMELIORER L'EDITION GENOMIQUE MEDIEE PAR CRISPR/CAS,"62/077,084 07.11.2014 US62/232,683 25.09.2015 US","AU2015342749

EP3215617

US20180298392

WO/2016/073990

EP4464338

AU2022202645

US20230365980",,,,Canada,42.36844881,-71.07831519,,,,Crop plants,,False,,,True,Gene Editing Systems Development
US305803743,16508712,United States of America,2019-07-11,,,"Kunming Institute Of Botany, Chinese Academy Of Sciences",(EN) APPLICATION OF CRISPR/CAS12A GENE EDITING SYSTEM IN GENE EDITING OF PHYSCOMITRELLA PATENS,201910159312.X 04.03.2019 CN,CN109825532,,,11.07.2019,United States,25.135082,102.744703,Kunming,Yunnan,China,Other plants,,False,2019.0,,True,Gene Editing Systems Development
CN431387877,202410296537,China,2024-03-14,,,Jiangsu University江苏大学Jiangsu Academy Of Agricultural Sciences,(EN) Genome editing method for allotetraploid pennisetum purpureum(ZH) 异源四倍体象草的基因组编辑方法,,,,,,,34.2947634,117.4517644,Xuzhou,Jiangsu,China,Elephant Grass,,False,2024.0,,False,Gene Editing Systems Development
CN432783909,202410188949,China,2024-02-20,,,Anhui Agricultural University,(EN) Corn CYP92C5 gene and application of corn CYP92C5 gene in cultivation of Asiatic corn borer resistant variety(ZH) 玉米CYP92C5基因及其在培育抗亚洲玉米螟品种中的应用,,,,,,,31.860048,117.257372,He Fei Shi,An Hui Sheng,China,Corn/Maize,,False,2024.0,,False,Disease Resistance
CN439125503,202410675933,China,2024-05-28,,,Ningbo University,(EN) Application of rice E3 ubiquitin ligase OsFBX68 in rice virus resistance(ZH) 一种水稻E3泛素连接酶OsFBX68在水稻抗病毒中的应用,,,,,,,29.909785,121.6416,Ning Bo Shi,Zhe Jiang Sheng,China,Rice,,False,2024.0,,False,Disease Resistance
CN401527597,202210785309,China,2022-07-05,,,South China Agricultural University,"(EN) Application of GS3, GW8 and/or GS9 genes in regulation and control of rice stigma exsertion rate(ZH) GS3、GW8和/或GS9基因在调控水稻柱头外露率中的应用",,,,,,,23.1568182,113.3536811,Guang Zhou Shi,Guang Dong Sheng,China,Rice,,False,2022.0,,False,Other Genetic Improvement for Crop Traits
CN422258993,202311384439,China,2023-10-25,,,"Institute Of Plant Protection, Chinese Academy Of Agricultural Sciences",(EN) Method for improving drug resistance of natural enemy insects(ZH) 一种提高天敌昆虫抗药性的方法,,,,,,,39.9628214,116.3269465,,Bei Jing Shi,China,Crop plants,,False,2023.0,,False,Pesticide Resistance
US399952195,17687928,United States of America,2022-03-07,,,"Institute Of Medicinal Plant Development (Implad), Cams & Pumc",(EN) METHOD AND USE FOR IDENTIFYING PLANT SPECIES BASED ON WHOLE GENOME ANALYSIS AND GENOME EDITING,,,,,07.03.2022,United States,51.7526544,-1.2164703,,England,United Kingdom,Crop plants,,False,2022.0,,False,Other Purpose
AR440322816,P230101666,Argentina,2023-06-28,,,Pairwise Plants Services Inc,(ES) MÉTODOS Y COMPOSICIONES PARA CONTROLAR EL TAMAÑO DEL MERISTEMO PARA EL MEJORAMIENTO DE CULTIVOS,"63/356,527 29.06.2022 US","WO/2024/006792

CN119365481

MXMX/a/2024/015770This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

IN202547003672This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

EP2023748393This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,28.06.2023,Argentina,35.9900355,-78.8898264,Durham,North Carolina,United States,Corn/Maize,,False,2023.0,,True,Yield Improvement
US424795966,18502136,United States of America,2023-11-06,,,Pairwise Plants Services Inc,(EN) VARIANTS OF CAS12A NUCLEASES AND METHODS OF MAKING AND USE THEREOF,,"US20210115421

JP2022552409

EP4045643

CN114829595

KR1020220097408

BR112022007125

CA3157707

SG11202203928S

AU2020366358

WO/2021/076682

IL292117

NZ787124

CL2022000937

MX2022004549

BR112022007125This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240076640

CL2024001733

CL2024001734

CL2024001737",,,06.11.2023,United States,35.9900355,-78.8898264,Durham,North Carolina,United States,Crop plants,,False,2023.0,,True,Gene Editing Systems Development
US424795967,18502194,United States of America,2023-11-06,,,Pairwise Plants Services Inc,(EN) VARIANTS OF CAS12A NUCLEASES AND METHODS OF MAKING AND USE THEREOF,,"US20210115421

JP2022552409

EP4045643

CN114829595

KR1020220097408

BR112022007125

CA3157707

SG11202203928S

AU2020366358

WO/2021/076682

IL292117

NZ787124

CL2022000937

MX2022004549

BR112022007125This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240076639

CL2024001733

CL2024001734

CL2024001737",,,06.11.2023,United States,35.9900355,-78.8898264,Durham,North Carolina,United States,Crop plants,,False,2023.0,,True,Gene Editing Systems Development
AR428328383,P230100200,Argentina,2023-01-27,,,"Pairwise Plants Services, Inc.Monsanto Technology Llc",(ES) SUPRESIÓN DE LA RESPUESTA DE EVITACIÓN DE LA SOMBRA EN LAS PLANTAS,"63/304,747 31.01.2022 US","CA3250300

WO/2023/147526

CN118843392

EP4472403",,,27.01.2023,Argentina,35.9900355,-78.8898264,Durham,North Carolina,United States,Crop plants,,False,2023.0,,True,Yield Improvement
AR426806913,P220103369,Argentina,2022-12-07,,,Pairwise Plants Services Inc,(ES) MÉTODOS PARA MEJORAR LA FERTILIDAD DE FLORETES Y EL RENDIMIENTO DE SEMILLAS,"63/287,610 09.12.2021 US","WO/2023/108035

CN118613495

EP4444743

CA3240821

MX2024006590

IN202447049295This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,07.12.2022,Argentina,35.9900355,-78.8898264,Durham,North Carolina,United States,Crop plants,,False,2022.0,,True,Yield Improvement
AR369698455,P210100760,Argentina,2021-03-26,,,Pairwise Plants Services Inc,(ES) MÉTODOS PARA MEJORAR LA  RESISTENCIA A LA  ROYA DE LA SOJA,63/000608 27.03.2020 US,"CA3176886

WO/2021/195456

UY0001039143

BR112022019180

EP4126917

CN115867565

BR112022019180This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

IN202247055309

MX2022012048",,,26.03.2021,Argentina,35.9900355,-78.8898264,Durham,North Carolina,United States,Soybeans,,False,2021.0,,True,Disease Resistance
US430565060,18555161,United States of America,2022-04-14,,,Kansas State University Research Foundation,(EN) SHORT MULTI-REPEAT RNA TARGETING GENE SILENCING,,WO/2022/245454,,,14.04.2022,United States,39.2048416,-96.586708,Manhattan,Kansas,United States,Crop plants,,False,2022.0,,True,Other Genetic Improvement for Crop Traits
US413450096,18311427,United States of America,2023-05-03,,,The Penn State Research Foundation,(EN) METHODS AND COMPOSITIONS FOR SUPERSENSITIVE AND SPECIFIC DETECTION OF CITRUS GREENING AND PHYTOPLASMA PATHOGENS,,,,,03.05.2023,United States,40.7969171,-77.8613205,State College,Pennsylvania,United States,"Potatoes, Citrus",,False,2023.0,,False,Disease Resistance
US450628187,18924558,United States of America,2024-10-23,,,"Pioneer Hi-Bred International, Inc.",(EN) ENGINEERED DEAMINASES,,,,,23.10.2024,United States,40.1631226,-76.6461019,Elizabethtown,Pennsylvania,United States,Crop plants,,False,2024.0,,False,Gene Editing Systems Development
US326379612,17141308,United States of America,2021-01-05,11365423.0,2022-06-21,"Guangdong Sanjie Forage Biotechnology Co., Ltd",(EN) Method of obtaining multileaflet Medicago sativa materials by means of MsPALM1 artificial site-directed mutants,201810724563.3 04.07.2018 CN,"CN108949774

WO/2020/007332

AU2019297209

CA3105397

EP3816292

US20210269816",,,05.01.2021,United States,23.190879,113.549766,Guang Zhou Shi,Guang Dong Sheng,China,Alfalfa,532.0,True,2021.0,2022.0,True,Other Genetic Improvement for Crop Traits
CN199377632,201710030839,China,2017-01-17,106834341.0,2020-06-16,China Agricultural University,(EN) Gene site-directed mutation vector as well as construction method and application thereof(ZH) 一种基因定点突变载体及其构建方法和应用,2016112550764 30.12.2016 CN,,,,,,40.004202,116.352988,,Bei Jing Shi,China,Crop plants,1246.0,True,2017.0,2020.0,False,Pesticide Resistance
CA131326335,2883792,Canada,2013-09-06,,2021-12-07,Dow Agrosciences Llc,(EN) ENGINEERED TRANSGENE INTEGRATION PLATFORM (ETIP) FOR GENE TARGETING AND TRAIT STACKING(FR) PLATEFORME D'INTEGRATION DE TRANSGENE GENETIQUEMENT MODIFIE (ETIP) POUR LE CIBLAGE GENIQUE ET L'EMPILEMENT DE CARACTERES,"61/697,882 07.09.2012 US","EP2893025

JP2015531598

US20140090113

WO/2014/039872

RU0002666916

CN107267524

CN104838001

BR112015004848

AU2013312352

RU0002666916

AR092479

KR1020150046345

IL237534

NZ705675

CL2015000565

IN2249/DELNP/2015

UAa201503063This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,06.09.2013,Canada,32.3820297,-92.1999241,West Monroe,Louisiana,United States,Crop plants,3014.0,True,2013.0,2021.0,True,Gene Editing Systems Development
CN205489033,201710506972,China,2013-09-06,107267524.0,2021-08-24,Dow Agrosciences Llc,(EN) Engineered transgene integration platform (ETIP) for gene targeting and trait stacking(ZH) 用于基因打靶和性状堆叠的工程化转基因整合平台(ETIP),"61/697,882 07.09.2012 US","EP2893025

JP2015531598

US20140090113

WO/2014/039872

RU0002666916

CN104838001

BR112015004848

AU2013312352

RU0002666916

AR092479

KR1020150046345

CA2883792

IL237534

NZ705675

CL2015000565

IN2249/DELNP/2015

UAa201503063This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,,40.7626591,-73.9696518,New York,New York,United States,Crop plants,2909.0,True,2013.0,2021.0,True,Gene Editing Systems Development
CN203405613,102017000146782,China,2017-03-13,107012164.0,2023-03-03,University Of Electronic Science And Technology Of China,"(EN) CRISPR/Cpf1 plant genome directional modification function unit, carrier comprising function unit, and application thereof(ZH) CRISPR/Cpf1植物基因组定向修饰功能单元、包含该功能单元的载体及其应用",2017100198425 11.01.2017 CN,,,,13.03.2017,China,30.6624863,104.1021662,Cheng Du Shi,,China,Rice,2181.0,True,2017.0,2023.0,False,Gene Editing Systems Development
CN291898449,201880042316,China,2018-04-24,,,Dupont Nutrition Biosciences Aps杜邦营养生物科学有限公司Universite Laval (Canada)拉瓦尔大学（加拿大）,(EN) METHODS AND COMPOSITIONS OF ANTI-CRISPR PROTEINS FOR USE IN PLANTS(ZH) 植物中使用的抗CRISPR蛋白的方法和组合物,"62/488,969 24.04.2017 US62/488,981 24.04.2017 US62/510,896 25.05.2017 US62/510,914 25.05.2017 US",EP3615552 BR112019022201 US20200190492 WO/2018/197520 IN201917043473,,,,,46.7817463,-71.2747424,Québec,Québec,Canada,Crop plants,,False,2018.0,,True,Gene Editing Systems Development
CN326499329,202110361987.X,China,2021-04-02,,,"Oil Crops Research Institute, Chinese Academy Of Agricultural Sciences",(EN) Brassica napus BnaA09.GTR2 gene related to thioglycoside transport and application thereof(ZH) 硫苷转运相关的甘蓝型油菜BnaA09.GTR2基因及其应用,,,,,02.04.2021,China,30.581532,114.344114,Wu Han Shi,Hu Bei Sheng,China,Canola,,False,2021.0,,False,Other Genetic Improvement for Crop Traits
CN326512503,202110154125.X,China,2021-02-04,,,"Lanzhou Veterinary Research Institute, Chinese Academy Of Agriculture Sciences",(EN) HDAC2 gene knockout BHK-21 cell line as well as construction method and application thereof(ZH) HDAC2基因敲除的BHK-21细胞系及其构建方法和应用,,,,,04.02.2021,China,36.082643,103.853777,Lan Zhou Shi,Gan Su Sheng,China,Crop plants,,False,2021.0,,False,Other Purpose
CN241609249,201780048145,China,2017-05-30,,,Kws Saat Sekws,(EN) HYBRID NUCLEIC ACID SEQUENCES FOR GENOME ENGINEERING(ZH) 用于基因组改造的杂合核酸序列,,,,,,,51.8149087,9.884365,Einbeck,Niedersachsen,Germany,Crop plants,,False,2017.0,,False,Gene Editing Systems Development
CN341236327,202110773909,China,2021-07-08,113564197.0,2024-03-15,Shanghai Normal University,(EN) Construction method and application of CRISPR/Cas9 mediated plant polygene editing vector(ZH) 一种CRISPR/Cas9介导的植物多基因编辑载体的构建方法和应用,,,,,,,30.835243,121.519928,,Shang Hai Shi,China,Rice,981.0,True,2021.0,2024.0,False,Gene Editing Systems Development
